bookKey;isbn;title;subtitle;author;publisher;pages;description;website
1;9781491904244;You Don't Know JS;ES6 & Beyond;Kyle Simpson;O'Reilly Media;278;No matter how much experience you have with JavaScript, odds are you don’t fully understand the language. As part of the \"You Don’t Know JS\" series, this compact guide focuses on new features available in ECMAScript 6 (ES6), the latest version of the st;https://github.com/getify/You-Dont-Know-JS/tree/master/es6%20&%20beyond
2;9781449337711;Designing Evolvable Web APIs with ASP.NET;Harnessing the Power of the Web;Glenn Block et al.;O'Reilly Media;238;Design and build Web APIs for a broad range of clients—including browsers and mobile devices—that can adapt to change over time. This practical, hands-on guide takes you through the theory and tools you need to build evolvable HTTP services with Microsoft;http://chimera.labs.oreilly.com/books/1234000001708/index.html
